ticket_id,created_at,updated_at,customer_id,assigned_agent_id,category_id,priority,status,subject,description,resolution_notes,sla_hours,first_response_at,resolved_at,closed_at,sla_breached,escalated,escalation_reason,satisfaction_score
TKT-00021,2026-02-02T08:50:55,2026-02-08T18:12:14,CUST-016,AGT-009,CAT-006,P3,Closed,Keyboard unresponsive — multiple keys affected,"Several keys on the laptop keyboard are unresponsive or require excessive force to register a keypress. Affected keys include E, R, and the spacebar. The issue has worsened progressively over the past two weeks and is significantly impacting data entry tasks.",Hardware inspection confirmed physical damage to the keyboard membrane. Replacement keyboard unit sourced and installed. All keys confirmed functional following replacement.,24,2026-02-02T09:01:02,2026-02-04T07:46:07,2026-02-08T18:12:14,True,False,,5
TKT-00022,2026-01-03T11:34:21,2026-01-08T23:16:53,CUST-017,AGT-005,CAT-009,P3,Closed,Finance application crashes when generating month-end reports,The finance application is crashing with an unhandled exception error whenever users attempt to generate month-end summary reports. The error log shows System.OutOfMemoryException in the report_generator.dll module. This is blocking the monthly close process and the finance team cannot complete period-end activities.,"Application vendor confirmed a memory leak introduced in version 4.2.1 affecting report generation for datasets exceeding 500,000 rows. Patch 4.2.1-HF2 applied to the production environment. Month-end reports now generating successfully.",24,2026-01-03T14:12:57,2026-01-04T00:55:35,2026-01-08T23:16:53,False,False,,2
TKT-00023,2026-05-04T08:24:57,2026-05-04T22:21:48,CUST-012,AGT-002,CAT-011,P3,Resolved,Contractor requires VPN and development environment access for 3-month engagement,A contractor joining on Monday is beginning a 3-month engagement and requires VPN access and credentials for the development environment. Network access should be restricted to the development VLAN only. Project lead approval is attached.,VPN account created and MFA enrolment completed with the contractor. Access profile restricted to the dev-VLAN subnet 10.20.0.0/24. Development environment credentials issued via the secure credential store. Account expiry set to the contract end date. Contractor confirmed successful connection.,24,2026-05-04T08:38:40,2026-05-04T20:45:01,,False,False,,
TKT-00024,2026-06-15T08:42:58,2026-06-18T02:26:24,CUST-007,AGT-003,CAT-012,P3,Closed,MFA prompt looping — cannot complete login despite correct credentials,"Correct credentials entered at login prompt but the MFA challenge loop repeats indefinitely without granting access. The Microsoft Authenticator app is showing and approving the prompts, but the system continues to re-challenge. Issue began this morning after a browser update.",Browser cookie store contained a corrupted session token from a previous failed authentication attempt. Clearing browser cookies and cache resolved the issue. Login completed successfully on the first attempt post-clear. IT communications issued to other potentially affected users.,24,2026-06-15T09:43:35,2026-06-16T00:24:28,2026-06-18T02:26:24,False,False,,4
TKT-00025,2026-03-21T11:24:43,2026-03-25T18:37:09,CUST-013,AGT-006,CAT-009,P4,Closed,Document management system not indexing new uploads,Files uploaded to the document management system over the past 48 hours are not appearing in search results. The uploads themselves complete without error but the search index is not being updated. All documents uploaded prior to the issue remain searchable.,The background indexing service had entered a fault state after a disk space warning event caused it to halt processing. Service restarted and a catch-up index run triggered. 847 queued documents indexed successfully over 35 minutes. Disk space alert threshold lowered to provide earlier warning.,72,2026-03-21T13:09:44,2026-03-23T16:13:54,2026-03-25T18:37:09,False,False,,3
TKT-00026,2026-04-06T13:28:43,2026-04-12T03:15:22,CUST-020,AGT-006,CAT-013,P4,Closed,Email signature rendering incorrectly on iOS devices,The corporate email signature is displaying correctly in Outlook on desktop and web but is rendering incorrectly on the iPhone Mail app. Embedded images are not displaying and the HTML formatting is broken. This is presenting unprofessionally to clients who receive replies from mobile.,The corporate signature template used embedded inline images which are not rendered correctly by the iOS Mail client. Rebuilt the signature using externally hosted image URLs from the corporate CDN. Updated the signature template in the central signature management tool. Tested on iOS and desktop — rendering consistent.,72,2026-04-06T15:52:49,2026-04-08T13:22:15,2026-04-12T03:15:22,False,False,,4
TKT-00027,2026-06-29T10:14:51,2026-06-29T10:22:23,CUST-020,,CAT-012,P3,Open,Account locked out after return from leave — urgent client call in 45 minutes,"Account locked out after multiple failed login attempts on returning from annual leave. Unable to access email, VPN, or any corporate systems. A client call is scheduled in 45 minutes that requires access to CRM and the shared presentation drive. Urgent assistance needed.",,24,,,,True,False,,
TKT-00028,2026-06-29T07:26:56,2026-06-29T21:26:00,CUST-020,AGT-002,CAT-015,P4,In Progress,How to configure VPN on a personal device for international travel,Travelling internationally next month for a conference and would like to configure VPN access on a personal laptop as a backup in case the corporate device has issues. Unsure whether this is permitted under IT policy and how to proceed if it is.,,72,2026-06-29T09:34:05,,,False,False,,
TKT-00029,2026-01-25T13:14:11,2026-01-29T06:24:45,CUST-001,AGT-011,CAT-008,P4,Closed,Database query performance degraded after weekend maintenance,"Following the weekend maintenance window, database query performance has degraded significantly across multiple business applications. Queries that previously completed in under 1 second are now taking 15-30 seconds. Applications are displaying timeout errors to end users.",Post-maintenance script had dropped and failed to recreate 12 non-clustered indexes on high-traffic tables. Indexes recreated from the pre-maintenance index configuration backup. Application performance confirmed restored. Pre-maintenance checklist updated to include index integrity verification.,72,2026-01-25T14:41:00,2026-01-27T22:16:36,2026-01-29T06:24:45,False,False,,3
TKT-00030,2026-03-14T07:48:57,2026-03-15T17:56:14,CUST-017,AGT-008,CAT-010,P4,Resolved,Forecast report calculating negative inventory values,The weekly inventory forecast report is producing negative stock-on-hand values for 14 product lines. Negative inventory is not operationally possible and the figures are being queried by the operations team. The report was running correctly until last week.,A recent data load had introduced duplicate records in the inventory adjustment staging table due to a broken deduplication step in the ETL pipeline. Duplicate records removed and ETL deduplication step restored. Historical data for the affected period corrected. Report re-run and all inventory values confirmed non-negative.,72,2026-03-14T10:16:45,2026-03-15T16:07:24,,False,False,,
TKT-00031,2026-06-21T10:40:17,2026-06-21T13:25:38,CUST-006,AGT-008,CAT-010,P3,In Progress,Revenue reconciliation report shows $47k discrepancy versus ERP source,"The weekly revenue reconciliation report shows a $47,000 discrepancy compared to totals pulled directly from the ERP source system for the period ending last Friday. The report logic has been reviewed by the finance team and no errors can be identified. The discrepancy needs to be resolved before the board report is finalised.",,24,2026-06-21T11:34:03,,,True,False,,
TKT-00032,2026-01-19T12:05:08,2026-01-19T20:06:34,CUST-009,AGT-006,CAT-009,P3,Resolved,Customer portal returning 503 Service Unavailable to all external users,All customers are receiving a 503 Service Unavailable error when attempting to log in to the self-service portal. The error has been occurring since approximately 2pm and is affecting every customer login attempt. Internal access to back-end systems is unaffected.,Load balancer health check was incorrectly flagging the primary web server as unhealthy after a configuration change earlier in the day. Health check thresholds corrected and the server re-added to the load balancer rotation. Portal access confirmed restored for all customers within 8 minutes.,24,2026-01-19T13:17:46,2026-01-19T19:16:47,,False,False,,
TKT-00033,2026-06-26T07:37:44,2026-06-26T08:58:24,CUST-015,AGT-005,CAT-009,P3,In Progress,Document management system not indexing new uploads,Files uploaded to the document management system over the past 48 hours are not appearing in search results. The uploads themselves complete without error but the search index is not being updated. All documents uploaded prior to the issue remain searchable.,,24,2026-06-26T08:49:55,,,True,False,,
TKT-00034,2026-01-08T13:26:34,2026-01-11T07:19:06,CUST-013,AGT-006,CAT-009,P4,Closed,Payroll export failing validation — preventing weekly submission,The weekly payroll export to the payroll provider is failing at the validation step before transmission. The error message references an invalid format in the tax file number field for three specific employee records. The payroll export has not been submitted successfully this week and payroll processing is at risk.,Three employee records had tax file number fields containing leading spaces introduced during a bulk data import. Records corrected directly in the database after confirming with HR. Re-ran the export validation. Export completed successfully and transmitted to the payroll provider.,72,2026-01-08T14:10:44,2026-01-09T01:42:20,2026-01-11T07:19:06,False,False,,5
TKT-00035,2026-01-14T13:58:25,2026-01-22T09:51:33,CUST-006,AGT-005,CAT-009,P4,Closed,Finance application crashes when generating month-end reports,The finance application is crashing with an unhandled exception error whenever users attempt to generate month-end summary reports. The error log shows System.OutOfMemoryException in the report_generator.dll module. This is blocking the monthly close process and the finance team cannot complete period-end activities.,"Application vendor confirmed a memory leak introduced in version 4.2.1 affecting report generation for datasets exceeding 500,000 rows. Patch 4.2.1-HF2 applied to the production environment. Month-end reports now generating successfully.",72,2026-01-14T15:56:15,2026-01-21T08:49:51,2026-01-22T09:51:33,True,False,,2
TKT-00036,2026-01-22T10:17:48,2026-01-24T03:41:19,CUST-011,AGT-010,CAT-008,P3,Closed,Warehouse management system scan response degraded across all terminals,The warehouse management system is running extremely slowly across all scanning terminals in the facility. Individual scan operations are taking 8-10 seconds instead of the near-instant response expected. The slowdown is directly impacting dispatch targets and warehouse throughput.,"Application server diagnostic revealed a log file that had grown to 180GB on the primary data volume, causing severe disk I/O contention. Log file archived to secondary storage and disk space cleared. WMS response times returned to normal within minutes. Log rotation policy applied.",24,2026-01-22T12:49:04,2026-01-23T02:28:48,2026-01-24T03:41:19,False,False,,5
TKT-00037,2026-03-03T10:12:53,2026-03-07T05:27:30,CUST-003,AGT-009,CAT-008,P3,Closed,Database query performance degraded after weekend maintenance,"Following the weekend maintenance window, database query performance has degraded significantly across multiple business applications. Queries that previously completed in under 1 second are now taking 15-30 seconds. Applications are displaying timeout errors to end users.",Post-maintenance script had dropped and failed to recreate 12 non-clustered indexes on high-traffic tables. Indexes recreated from the pre-maintenance index configuration backup. Application performance confirmed restored. Pre-maintenance checklist updated to include index integrity verification.,24,2026-03-03T10:45:23,2026-03-04T01:03:41,2026-03-07T05:27:30,False,False,,3
TKT-00038,2026-03-12T07:47:45,2026-03-12T19:41:03,CUST-012,AGT-001,CAT-012,P2,Resolved,MFA authenticator app inaccessible after phone replacement,Mobile phone was replaced and the Microsoft Authenticator app data was not transferred to the new device. MFA challenges cannot be completed and login to all corporate systems is blocked. Old phone is available but the SIM card has been transferred to the new device.,MFA re-enrolment initiated after identity verification with the user manager via video call. Existing authenticator tokens invalidated across all registered devices. New device enrolled with Microsoft Authenticator and tested with a full login flow. User confirmed successful access.,8,2026-03-12T10:41:36,2026-03-12T17:52:05,,True,True,Regulatory compliance risk identified — escalated to security team lead,
TKT-00039,2026-02-24T09:49:19,2026-02-26T22:28:40,CUST-007,AGT-005,CAT-009,P2,Closed,Document management system not indexing new uploads,Files uploaded to the document management system over the past 48 hours are not appearing in search results. The uploads themselves complete without error but the search index is not being updated. All documents uploaded prior to the issue remain searchable.,The background indexing service had entered a fault state after a disk space warning event caused it to halt processing. Service restarted and a catch-up index run triggered. 847 queued documents indexed successfully over 35 minutes. Disk space alert threshold lowered to provide earlier warning.,8,2026-02-24T12:11:29,2026-02-24T13:25:15,2026-02-26T22:28:40,False,False,,4
TKT-00040,2026-06-28T09:23:40,2026-06-29T04:22:06,CUST-014,AGT-008,CAT-009,P4,In Progress,Customer portal returning 503 Service Unavailable to all external users,All customers are receiving a 503 Service Unavailable error when attempting to log in to the self-service portal. The error has been occurring since approximately 2pm and is affecting every customer login attempt. Internal access to back-end systems is unaffected.,,72,2026-06-28T10:45:26,,,True,False,,
TKT-00041,2026-01-15T10:52:46,2026-01-15T17:41:55,CUST-009,AGT-003,CAT-015,P3,Resolved,Request for second monitor for home office setup,Working remotely three days per week and would like to request a second external monitor for the home office setup. Line manager has provided verbal approval. Requesting information on the available options and the process for requesting peripherals for remote work.,Line manager approval confirmed via email. Equipment request raised for a standard 24-inch external monitor from the approved supplier. Delivery details provided. Estimated delivery within 3-5 business days.,24,2026-01-15T13:26:57,2026-01-15T15:56:07,,False,False,,
TKT-00042,2026-02-28T07:21:01,2026-03-05T14:13:28,CUST-015,AGT-010,CAT-008,P3,Closed,Warehouse management system scan response degraded across all terminals,The warehouse management system is running extremely slowly across all scanning terminals in the facility. Individual scan operations are taking 8-10 seconds instead of the near-instant response expected. The slowdown is directly impacting dispatch targets and warehouse throughput.,"Application server diagnostic revealed a log file that had grown to 180GB on the primary data volume, causing severe disk I/O contention. Log file archived to secondary storage and disk space cleared. WMS response times returned to normal within minutes. Log rotation policy applied.",24,2026-02-28T07:58:39,2026-03-03T08:11:26,2026-03-05T14:13:28,True,False,,4
TKT-00043,2026-03-28T11:26:31,2026-03-29T04:32:57,CUST-009,AGT-002,CAT-012,P3,Resolved,SSO authentication failure for project management tool,Receiving an SSO authentication error when attempting to access the corporate project management tool via the internal SSO portal. Error message states SAML assertion validation failed. All other SSO-enabled applications are working correctly. The issue affects multiple users.,The SAML signing certificate for the project management application integration had expired. New certificate generated and uploaded to the service provider. IdP metadata updated with the new certificate fingerprint. SSO login confirmed working for all affected users within 20 minutes.,24,2026-03-28T13:24:54,2026-03-29T04:21:47,,False,False,,
TKT-00044,2026-06-22T12:30:35,2026-06-23T07:44:46,CUST-008,AGT-011,CAT-008,P3,Pending Customer,Warehouse management system scan response degraded across all terminals,The warehouse management system is running extremely slowly across all scanning terminals in the facility. Individual scan operations are taking 8-10 seconds instead of the near-instant response expected. The slowdown is directly impacting dispatch targets and warehouse throughput.,,24,2026-06-22T13:50:37,,,True,False,,
TKT-00045,2026-05-14T11:07:47,2026-05-20T00:33:48,CUST-015,AGT-006,CAT-009,P3,Closed,Customer portal returning 503 Service Unavailable to all external users,All customers are receiving a 503 Service Unavailable error when attempting to log in to the self-service portal. The error has been occurring since approximately 2pm and is affecting every customer login attempt. Internal access to back-end systems is unaffected.,Load balancer health check was incorrectly flagging the primary web server as unhealthy after a configuration change earlier in the day. Health check thresholds corrected and the server re-added to the load balancer rotation. Portal access confirmed restored for all customers within 8 minutes.,24,2026-05-14T11:51:26,2026-05-15T02:54:09,2026-05-20T00:33:48,False,False,,4
TKT-00046,2026-05-07T11:23:11,2026-05-08T00:35:21,CUST-004,AGT-007,CAT-009,P4,Resolved,Finance application crashes when generating month-end reports,The finance application is crashing with an unhandled exception error whenever users attempt to generate month-end summary reports. The error log shows System.OutOfMemoryException in the report_generator.dll module. This is blocking the monthly close process and the finance team cannot complete period-end activities.,"Application vendor confirmed a memory leak introduced in version 4.2.1 affecting report generation for datasets exceeding 500,000 rows. Patch 4.2.1-HF2 applied to the production environment. Month-end reports now generating successfully.",72,2026-05-07T13:32:22,2026-05-08T00:28:49,,False,False,,
TKT-00047,2026-06-15T10:18:30,2026-06-16T10:34:05,CUST-005,AGT-008,CAT-009,P3,In Progress,Payroll export failing validation — preventing weekly submission,The weekly payroll export to the payroll provider is failing at the validation step before transmission. The error message references an invalid format in the tax file number field for three specific employee records. The payroll export has not been submitted successfully this week and payroll processing is at risk.,,24,2026-06-15T11:23:46,,,True,False,,
TKT-00048,2026-06-16T10:31:04,2026-06-17T21:33:03,CUST-016,AGT-011,CAT-008,P2,Closed,CRM application load times increased from 3 seconds to over 45 seconds,"The CRM system is taking between 45 and 60 seconds to load individual customer records, compared to the usual 3-5 seconds. The slowdown started this morning and is affecting the entire sales team simultaneously. Report generation is also timing out before completing.",Database query analysis revealed a missing index on the customer_interactions table following a schema migration deployed overnight. Index created and query plan cache flushed. CRM load times confirmed back to the 3-5 second range within 20 minutes of the fix.,8,2026-06-16T11:03:28,2026-06-16T17:01:58,2026-06-17T21:33:03,False,False,,4
TKT-00049,2026-02-06T10:28:58,2026-02-10T05:18:57,CUST-014,AGT-004,CAT-011,P3,Closed,Contractor requires VPN and development environment access for 3-month engagement,A contractor joining on Monday is beginning a 3-month engagement and requires VPN access and credentials for the development environment. Network access should be restricted to the development VLAN only. Project lead approval is attached.,VPN account created and MFA enrolment completed with the contractor. Access profile restricted to the dev-VLAN subnet 10.20.0.0/24. Development environment credentials issued via the secure credential store. Account expiry set to the contract end date. Contractor confirmed successful connection.,24,2026-02-06T13:04:38,2026-02-06T19:12:47,2026-02-10T05:18:57,False,False,,4
TKT-00050,2026-06-25T13:05:10,2026-06-25T18:32:37,CUST-007,AGT-002,CAT-012,P3,In Progress,MFA authenticator app inaccessible after phone replacement,Mobile phone was replaced and the Microsoft Authenticator app data was not transferred to the new device. MFA challenges cannot be completed and login to all corporate systems is blocked. Old phone is available but the SIM card has been transferred to the new device.,,24,2026-06-25T14:47:12,,,True,False,,
TKT-00051,2026-06-22T10:55:29,2026-06-26T15:08:38,CUST-020,AGT-005,CAT-009,P3,Closed,Customer portal returning 503 Service Unavailable to all external users,All customers are receiving a 503 Service Unavailable error when attempting to log in to the self-service portal. The error has been occurring since approximately 2pm and is affecting every customer login attempt. Internal access to back-end systems is unaffected.,Load balancer health check was incorrectly flagging the primary web server as unhealthy after a configuration change earlier in the day. Health check thresholds corrected and the server re-added to the load balancer rotation. Portal access confirmed restored for all customers within 8 minutes.,24,2026-06-22T13:42:14,2026-06-23T01:01:32,2026-06-26T15:08:38,False,False,,5
TKT-00052,2026-06-01T12:17:52,2026-06-06T08:19:06,CUST-018,AGT-006,CAT-010,P3,Closed,Daily sales dashboard showing yesterday's data — not refreshed,The daily sales dashboard in the BI platform has not refreshed this morning and is still displaying data from yesterday. The dashboard is used by the sales leadership team during the morning stand-up and the stale data is causing confusion around actual performance figures.,"The scheduled refresh job failed silently after the overnight data warehouse maintenance window overran by 40 minutes, causing the job OAuth connection token to expire mid-run. Token refreshed, job re-triggered manually, and the schedule adjusted to start 2 hours after the maintenance window end time.",24,2026-06-01T12:34:14,2026-06-02T01:53:40,2026-06-06T08:19:06,False,False,,5
TKT-00053,2026-02-23T13:31:28,2026-02-23T23:02:24,CUST-015,AGT-005,CAT-010,P3,Resolved,Forecast report calculating negative inventory values,The weekly inventory forecast report is producing negative stock-on-hand values for 14 product lines. Negative inventory is not operationally possible and the figures are being queried by the operations team. The report was running correctly until last week.,A recent data load had introduced duplicate records in the inventory adjustment staging table due to a broken deduplication step in the ETL pipeline. Duplicate records removed and ETL deduplication step restored. Historical data for the affected period corrected. Report re-run and all inventory values confirmed non-negative.,24,2026-02-23T13:44:24,2026-02-23T22:32:22,,False,False,,
TKT-00054,2026-06-30T09:48:43,2026-07-01T04:10:44,CUST-019,AGT-010,CAT-007,P3,In Progress,Entire office network down — internet and internal access lost,"Complete network outage affecting the entire Melbourne office. No internet access, no access to internal systems, and VoIP phones are also offline. Outage began at approximately 7:45am. All staff on site are impacted.",,24,2026-06-30T10:01:43,,,True,False,,
